Code;Type;Discipline;Class;Result;Wind;Venue;Venue Country;Environment;Date;Firstname;Lastname;Nation;YOB;Sex
AR;4;HOC;M;2.38;;Oudtshoorn;RSA;Outdoor;2005-03-05;Jacques;Freitag;RSA;1982;Male
AR;4;STA;M;6.03;;Köln;GER;Outdoor;1995-08-18;Okkert;Brits;RSA;1973;Male
AR;4;WEI;M;8.65;1.3;Potchefstroom;RSA;Outdoor;2017-04-22;Luvo;Manyonga;RSA;1991;Male
AR;4;KUG;M;21.97;;OR;USA;Outdoor;2001-06-02;Janus;Robberts;RSA;1979;Male
AR;4;DIS;M;70.32;;Salon-de-Provence;FRA;Outdoor;2002-05-26;Frantz;Kruger;RSA;1975;Male
AR;4;HAM;M;81.27;;Cairo;EGY;Outdoor;2014-03-21;Mostafa;Elgamel;EGY;1988;Male
AR;4;SPE;M;92.72;;Beijing;CHN;Outdoor;2015-08-26;Julius;Yego;KEN;1989;Male
AR;4;100;M;9.77;1.2;Kasarani, Nairobi;KEN;Outdoor;2021-09-18;Ferdinand;Omanyala;KEN;1996;Male
AR;4;200;M;19.50;1.6;London;GBR;Outdoor;2023-07-23;Letsile;Tebogo;BOT;2003;Male
AR;4;400;M;43.03;;Rio de Janeiro;BRA;Outdoor;2016-08-14;Wayde;Van Niekerk;RSA;1992;Male
AR;4;800;M;1:40.91;;London;GBR;Outdoor;2012-08-09;David;Rudisha;KEN;1988;Male
AR;4;1K0;M;2:11.96;;Rieti;ITA;Outdoor;1999-09-05;Noah;Ngeny;KEN;1978;Male
AR;4;1K5;M;3:26.00;;Roma;ITA;Outdoor;1998-07-14;Hicham;El Guerrouj;MAR;1974;Male
AR;4;MEI;M;3:43.13;;Roma;ITA;Outdoor;1999-07-07;Hicham;El Guerrouj;MAR;1974;Male
AR;4;2K0;M;4:44.79;;Berlin;GER;Outdoor;1999-09-07;Hicham;El Guerrouj;MAR;1974;Male
AR;4;3K0;M;7:20.67;;Rieti;ITA;Outdoor;1996-09-01;Daniel;Komen;KEN;1976;Male
AR;4;5K0;M;12:35.36;;Monaco;MON;Outdoor;2020-08-14;Joshua;Cheptegei;UGA;1996;Male
AR;4;10K;M;26:11.00;;Valencia;ESP;Outdoor;2020-10-07;Joshua;Cheptegei;UGA;1996;Male
AR;4;11H;M;13.11;1.8;Praha;CZE;Outdoor;2017-06-05;Antonio;Alkana;RSA;1990;Male
AR;4;40H;M;47.10;;Zürich;SUI;Outdoor;1991-08-07;Samuel;Matete;ZAM;1968;Male
